Step Number,User/User Role,Action,Expected Test Results,Testers feedback on script
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,# User Management: Login and Registration,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,user_management/login_and_registration,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
----------,----------,----------,----------
## CB.1,----------,## Ensure Case Insensitive login,----------
CB.1.1.,anonymous,"Ensure a user exists with email ""test@test.com"" and password ""password123""",
CB.1.2.,anonymous,Go to login page at /account/login,
CB.1.3.,anonymous,"Provide email ""test@test.com"" and password ""password123""",
CB.1.3.1.,anonymous,,user correctly logged in
CB.1.4.,anonymous,Log out,
CB.1.5.,anonymous,Go to login page at /account/login,
CB.1.6.,anonymous,"Provide email ""TEST@test.com"" and password ""password123""",
CB.1.6.1.,anonymous,,user correctly logged in
----------,----------,----------,----------

----------,----------,----------,----------
## CB.2,----------,## Ensure Case Sensitive Registration,----------
CB.2.1.,anonymous,"Ensure a user exists with email ""test@test.com"" and password ""password123""",
CB.2.2.,anonymous,"Ensure a user with email ""TestUser@test.com"" does NOT exist",
CB.2.3.,anonymous,Ensure you're logged out,
CB.2.4.,anonymous,Go to registration page at /account/register,
CB.2.5.,anonymous,"Provide ""Test User"" as a Name and ""test@test.com"", check captcha and click ""Register"" button",
CB.2.5.1.,anonymous,,"The ""That email is already in use"" error is displayed"
CB.2.6.,anonymous,"Provide ""Test User"" as a Name and ""TEST@test.com"", check captcha and click ""Register"" button",
CB.2.6.1.,anonymous,,"The ""That email is already in use"" error is displayed"
CB.2.7.,anonymous,"Provide ""Test User"" as a Name and ""TestUser@test.com"", check captch and click ""Register"" button",
CB.2.7.1.,anonymous,,The User is registered and redirected to the homepage
CB.2.7.2.,anonymous,,A prompt to verify email address is displayed at the top
CB.2.8.,anonymous,"Verify the email, set password ""password123"" and user name to ""TestUser""",
CB.2.9.,anonymous,Log in with the new account,
CB.2.10.,anonymous,Go to your account setting at /account/testuser,
CB.2.10.1.,anonymous,,"Email address is displayed as ""TestUser@test.com"" (confirm correct casing)."
----------,----------,----------,----------

----------,----------,----------,----------
## CB.3,----------,## Basic Passwordless Login Flow,----------
CB.3.1.,anonymous,"Ensure a user exists with email ""passwordless@test.com"" and password ""password123""",
CB.3.2.,anonymous,Go to login page at /account/login,
CB.3.3.,anonymous,"Enter email ""passwordless@test.com"" and click ""Get Login Link"" button",
CB.3.3.1.,anonymous,,A message is displayed indicating a login link has been sent
CB.3.3.2.,anonymous,,The verification code input form is displayed
CB.3.4.,anonymous,"Check the email sent to ""passwordless@test.com"" and note the 6-digit verification code",
CB.3.5.,anonymous,Enter the verification code in the form and submit,
CB.3.5.1.,anonymous,,User is successfully logged in
CB.3.5.2.,anonymous,,User is redirected to the homepage
----------,----------,----------,----------

----------,----------,----------,----------
## CB.4,----------,## Passwordless Login with Incorrect Code,----------
CB.4.1.,anonymous,"Ensure a user exists with email ""passwordless@test.com"" and password ""password123""",
CB.4.2.,anonymous,Go to login page at /account/login,
CB.4.3.,anonymous,"Enter email ""passwordless@test.com"" and click ""Get Login Link"" button",
CB.4.3.1.,anonymous,,A message is displayed indicating a login link has been sent
CB.4.3.2.,anonymous,,The verification code input form is displayed
CB.4.4.,anonymous,"Enter an incorrect verification code (e.g., ""999999"") and submit",
CB.4.4.1.,anonymous,,"An error message ""Invalid or expired verification code"" is displayed"
CB.4.4.2.,anonymous,,User remains on the login page
----------,----------,----------,----------

----------,----------,----------,----------
## CB.5,----------,## Login Using Email Link,----------
CB.5.1.,anonymous,"Ensure a user exists with email ""link@test.com"" and password ""password123""",
CB.5.2.,anonymous,Go to login page at /account/login,
CB.5.3.,anonymous,"Enter email ""link@test.com"" and click ""Get Login Link"" button",
CB.5.3.1.,anonymous,,A message is displayed indicating a login link has been sent
CB.5.4.,anonymous,"Check the email sent to ""link@test.com"" and locate the login link",
CB.5.5.,anonymous,Click on the login link in the email,
CB.5.5.1.,anonymous,,User is automatically logged in without needing to enter the verification code
----------,----------,----------,----------

